gender, description,notes,best_match
Demi-vapor, (term coined by @cotton-blossom-jellyfish)Continuously drifting to other genders feeling spiritually transcendental when doing so while having a clear -slightly blurred- inner visual of your genders transitions and positive emotions. Tied to Demi-Smoke.,442.0,Demi-vapor
Demi-smoke, (term coined by @cotton-blossom-jellyfish)A transcendental spiritual gender roughly drifting to other genders that are unable to be foreseen and understood shrouded in darkness within your inner visual. Elevating through mystery. Caused by a lack of inner interpretation and dark emotional states. Tied to Demi-Vapor.,291.4,Demi-smoke
Duragender,from the Latin word dura meaning �long-lasting� meaning a subcategory of multigender in which one gender is more identifiable long lasting and prominent than the other genders,312.3333333333333,Duragender
Egogender,a gender that is so personal to your experience that it can only be described as �you�,9347.8,Ego+gender
Epicene,sometimes used synonymously with the adjective �androgynous�; the feeling either having or not displaying characteristics of both or either binary gender; sometimes used to describe feminine male identifying individuals,409.35,Epicene
Espigender,a gender that is related to being a spirit or exists on a higher or extradimensional plane,734.4,Espigender
Exgender, the outright refusal to accept or identify in on or around the gender spectrum,404.15,Ex+gender
Existigender,a gender that only exists or feels present when thought about or when a conscious effort is made to notice it,478.625,Existigender
Female,one of two binary genders where one feels fully and completely female; can and is used in conjunction with other gender labels and identities,5471.35,Female
Femfluid,having fluctuating or fluid gender feelings that are limited to feminine genders,471.1,Femfluid
Femgender,a nonbinary gender which is feminine in nature,2438.1,Fem+gender
Fluidflux,the feeling of being fluid between two or more genders that also fluctuate in intensity; a combination of genderfluid and genderflux,2782.1,Fluidflux
Gemigender,having two opposite genders that work together being fluid and flux together,514.875,Gemigender
Genderblank,a gender that can only be described as a blank space; when gender is called into question all that comes to mind is a blank space,333.55,Genderblank
Genderflow,a gender that is fluid between infinite feelings,113.16666666666667,Genderflow
Genderfluid,the feeling of fluidity within your gender identity; feeling a different gender as time passes or as situations change; not restricted to any number of genders,15148.55,Genderfluid
Genderflux,the feeling of your gender fluctuating in intensity; like genderfluid but between one gender and agender,26113.35,Genderflux
Genderfuzz,coined by lolzmelmel; the feeling of having more than one gender that are somehow blurred together to the point of not being able to distinguish or identify individual genders; synonymous with blurgender,378.0833333333333,Genderfuzz
Gender Neutral,the feeling of having a neutral gender whether somewhere in between masculine and feminine or a third gender that is separate from the binary; often paired with neutrois,52359.85,Gender Neutral
Genderpunk,a gender identity that actively resists gender norms,317.8,Genderpunk
Genderqueer,originally used as an umbrella term for nonbinary individuals; may be used as an identity; describes a nonbinary gender regardless of whether the individual is masculine or feminine leaning,11410.55,Genderqueer
Genderwitched,a gender in which one is intrigued or entranced by the idea of a particular gender but is not certain that they are actually feeling it,747.0,Genderwitched
Girlflux,when one feels mostly or all female most of the time but experiences fluctuating intensities of female identity,1894.4,Girlflux
Glassgender,a gender that is very sensitive and fragile,742.2,Glassgender
Glimragender,a faintly shining wavering gender,1821.0,Glimragender
Greygender,having a gender that is mostly outside of the binary but is weak and can barely be felt,4457.95,Greygender
Gyragender,having multiple genders but understanding none of them,210.25,Gyragender
Healgender,a gender that once realized brings lots of peace clarity security and creativity to the individual�s mind,1627.95,Heal+gender
Heliogender,a gender that is warm and burning,628.8571428571429,Heliogender
Hemigender,a gender that is half one gender and half something else; one or both halves may be identifiable genders,476.0,Hemigender
Horogender,a gender that changes over time with the core feeling remaining the same,323.5,Horogender
Hydrogender,a gender which shares qualities with water,523.75,Hydrogender
Imperigender,a fluid gender that can be controlled by the individual,904.3333333333334,Imperigender
Intergender,the feeling of gender falling somewhere on the spectrum between masculine and feminine. Meant for intersex people only,1544.15,Intergender
Juxera,a feminine gender similar to girl but on a separate plane and off to itself,460.15,Juxera
Libragender,a gender that feels agender but has a strong connection to another gender,290.35,Libragender
Male,one of two binary genders where one feels fully and completely male; can and is used in conjunction with other gender labels and identities,2289.45,Male
Magigender,a gender that is mostly gender and the rest is something else,1954.15,Magigender
Mascfluid,A gender that is fluid in nature and restricted only to masculine genders,475.3333333333333,Mascfluid
Mascgender,a non-binary gender which is masculine in nature.,4373.35,Masc+gender
Maverique,taken from the word maverick; the feeling of having a gender that is separate from masculinity femininity and neutrality but is not agender; a form of third gender,3362.4,Maverique
Mirrorgender,a gender that changes to fit the people around you,2636.15,Mirror+gender
Molligender,a gender that is soft subtle and subdued,917.5,Molligender
Multigender,the feeling of having more than one simultaneous or fluctuating gender; simultaneous with multigenderand omnigender,3975.5,Multi+gender
Nanogender,feeling a small part of one gender with the rest being something else,1796.3,Nanogender
Neutrois,the feeling of having a neutral gender; sometimes a lack of gender that leads to feeling neutral,8737.4,Neutrois
Nonbinary,originally an umbrella term for any gender outside the binary of cisgenders; may be used as an individual identity; occasionally used alongside of genderqueer,30717.0,Non+binary
Omnigender,the feeling of having more than one simultaneous or fluctuating gender; simultaneous with multigenderand polygender,1340.6,Omnigender
Oneirogender,coined by anonymous �being agender but having recurring fantasies or daydreams of being a certain gender without the dysphoria or desire to actually be that gender day-to-day�,224.5,Oneirogender
Pangender,the feeling of having every gender; this is considered problematic by some communities and thus has been used as the concept of relating in some way to all genders as opposed to containing every gender identity; only applies to genders within one�s own culture,23629.0,Pan+gender
Paragender,the feeling very near one gender and partially something else which keeps you from feeling fully that gender,341.4,Para+gender
Perigender,identifying with a gender but not as a gender,324.42857142857144,Perigender
Polygender,the feeling of having more than one simultaneous or fluctuating gender; simultaneous with multigenderand omnigender,5580.789473684211,Poly+gender
Proxvira, masculine gender similar to boy but on a separate plane and off to itself,0.0,Proxvira
Quoigender,feeling as if the concept of gender is inapplicable or nonsensical to one�s self,612.4,Quoigender
Subgender,mostly agender with a bit of another gender,361.2,Sub+gender
Surgender,having a gender that is 100% one gender but with more of another gender added on top of that,102.42857142857143,Surgender
Systemgender,a gender that is the sum of all the genders within a multiple or median system,9884.25,System+gender
Tragender,a gender that stretches over the whole spectrum of genders,762.55,Tra+gender
Transgender,any gender identity that transcends or does not align with your assigned gender or society�s idea of gender; the feeling of being any gender that does not match your assigned gender,7385.25,Trans+gender
Transneutral,A term used to describe transgender people who were assigned male or female at birth but identify with neutral gendered feelings to a greater extent than with femininity or masculinity. It is used the same way as �transfeminine� or �transmasculine� but for neutral feelings. It can be used to describe gendered feelings or as a gender itself.,6046.8,Transneutral
Trigender,the feeling of having three simultaneous or fluctuating genders,21262.65,Trigender
Vapogender,a gender that sort of feels like smoke; can be seen on a shallow level but once you go deeper it disappears and you are left with no gender and only tiny wisps of what you thought it was,168.53846153846155,Vapogender
Venngender,when two genders overlap creating an entirely new gender; like a venn diagram,96.8,Venngender
Verangender,a gender that seems to shift/change the moment it is identified,85.0,Verangender
Vibragender,a gender that is usually one stable gender but will occasionally changes or fluctuate before stabilizing again,276.14285714285717,Vibragender
Vocigender,a gender that is weak or hollow,67.88888888888889,Vocigender
